City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
275,Trelew,AR,-43.249,-65.3051,50.58,26,0,8.05,clear sky
276,Kaeo,NZ,-35.1,173.7833,52.32,90,13,7.31,few clouds
277,Asyut,EG,27.181,31.1837,93.38,16,7,4.16,clear sky
278,Norman Wells,CA,65.282,-126.8329,78.84,47,75,5.75,broken clouds
279,Esperance,AU,-33.8667,121.9,49.84,72,8,29.33,light rain
280,Bintulu,MY,3.1667,113.0333,77.41,94,20,0.0,few clouds
281,Bhadohi,IN,25.4167,82.5667,77.77,94,100,14.85,moderate rain
282,Voi,KE,-3.3945,38.563,68.09,75,51,10.74,broken clouds
283,Emba,KZ,48.8264,58.1442,81.64,11,5,5.77,clear sky
284,Pisco,PE,-13.7,-76.2167,66.25,72,20,9.22,few clouds
285,Zyryanka,RU,65.75,150.85,47.3,89,100,20.47,light rain
286,Nanortalik,GL,60.1432,-45.2371,48.36,81,72,14.23,broken clouds
287,Mehamn,NO,71.0357,27.8492,49.35,86,100,1.34,overcast clouds
288,Chicama,PE,-7.8447,-79.1469,66.74,59,3,9.62,clear sky
289,Riachao Das Neves,BR,-11.7461,-44.91,89.8,26,50,8.59,scattered clouds
290,Oranjemund,NA,-28.55,16.4333,64.38,43,0,3.33,clear sky
291,Gravdal,NO,68.1214,13.5031,48.99,76,100,8.37,overcast clouds
292,Doha,QA,25.2867,51.5333,94.98,66,0,2.3,clear sky
293,Braganca,BR,-1.0536,-46.7656,77.58,96,41,4.21,light rain
294,Aksarka,RU,66.5606,67.7975,45.93,86,37,6.51,scattered clouds
295,Pandan,PH,14.0453,124.1694,82.53,78,100,12.48,overcast clouds
296,Barcelona,ES,41.3888,2.159,77.61,76,38,4.0,moderate rain
297,Izberbash,RU,42.5696,47.8645,73.45,73,73,5.7,broken clouds
298,La Esperanza,GT,14.8667,-91.5667,70.52,72,40,18.41,scattered clouds
299,Rognan,NO,67.0953,15.3878,51.76,84,99,5.12,overcast clouds
300,Katsuura,JP,35.1333,140.3,80.11,82,89,0.74,overcast clouds
301,Takestan,IR,36.0696,49.6959,68.13,72,88,11.5,overcast clouds
302,Batemans Bay,AU,-35.7167,150.1833,59.09,74,0,2.91,clear sky
303,Lucapa,AO,-8.4192,20.7447,70.79,25,8,4.45,clear sky
304,Sao Jose Da Laje,BR,-9.0097,-36.0583,75.16,88,34,10.47,scattered clouds
305,Khovu-Aksy,RU,51.1333,93.6,49.78,90,100,2.26,overcast clouds
306,Salalah,OM,17.0151,54.0924,78.89,89,90,8.05,overcast clouds
307,Maldonado,UY,-34.6667,-54.9167,56.59,71,23,0.87,few clouds
308,Tilichiki,RU,60.4667,166.1,48.9,54,29,4.0,scattered clouds
309,Eyl,SO,7.9803,49.8164,76.21,79,14,20.29,few clouds
310,Acapulco,MX,16.8634,-99.8901,86.68,65,28,6.87,scattered clouds
311,Trairi,BR,-3.2778,-39.2689,81.01,68,21,12.3,few clouds
312,Nokaneng,BW,-19.6667,22.2667,56.48,34,0,7.99,clear sky
313,Guerrero Negro,MX,27.9769,-114.0611,85.32,48,5,11.36,clear sky
314,Missoula,US,47.0166,-113.8009,89.17,25,52,5.12,broken clouds
315,Havelock,US,34.8791,-76.9013,93.43,82,75,8.05,broken clouds
316,Zhadovka,RU,53.5746,46.9498,66.7,72,1,5.01,clear sky
317,Mount Isa,AU,-20.7333,139.5,67.77,56,90,3.44,overcast clouds
318,Dakar,SN,14.6937,-17.4441,82.53,74,75,9.22,broken clouds
319,Beringovskiy,RU,63.05,179.3167,42.35,86,100,5.75,overcast clouds
320,Ugoofaaru,MV,5.6667,73.0,82.22,76,28,11.23,scattered clouds
321,Sistranda,NO,63.7256,8.834,53.56,80,100,17.47,overcast clouds
